
         Dual Mode Scramjet

  N       NA    Nm    cf         Dinj       L
   1221   3     3     0.00300    0.00300    1.220
         Area changes along axis
  xA      theta
  0.000    0.00
  0.390    0.60
  0.990    1.20
         Injections along axis
  xm      psi     y       angle
  0.110   0.50    0.10    80.00
  0.510   0.30    0.40    60.00
  0.810   0.20    0.60    40.00


  x        p           Ma       rho         V          T         F         Tt        Pt          s          a         Ac           A            gamma       mdot       W         G
   0.0630    53285.8   3.1634    0.207343   1862.529    895.76     99.52   2283.25   2923967.1      19.84   588.849   0.00379912   0.00379999   1.3471698    1.46735   28.9200    -61.98692
   0.0640    53316.0   3.1623    0.207371   1862.289    896.15     99.52   2283.24   2920682.5      20.16   588.975   0.00379908   0.00379999   1.3471377    1.46735   28.9200    -61.76063
   0.0650    53346.3   3.1612    0.207400   1862.050    896.53     99.51   2283.22   2917399.4      20.47   589.102   0.00379904   0.00379999   1.3471057    1.46735   28.9200    -61.74940
   0.0660    53376.6   3.1602    0.207429   1861.811    896.92     99.50   2283.21   2914124.5      20.79   589.228   0.00379901   0.00379999   1.3470736    1.46735   28.9200    -61.68316
   0.0670    53406.9   3.1591    0.207458   1861.572    897.30     99.50   2283.19   2910860.0      21.10   589.355   0.00379896   0.00379999   1.3470416    1.46735   28.9200    -61.43704
   0.0680    53437.2   3.1580    0.207486   1861.333    897.69     99.49   2283.18   2907597.8      21.42   589.481   0.00379892   0.00379999   1.3470096    1.46735   28.9200    -61.34152
   0.0690    53467.6   3.1569    0.207515   1861.094    898.07     99.48   2283.17   2904340.4      21.73   589.607   0.00379889   0.00379999   1.3469776    1.46735   28.9200    -61.35541
   0.0700    53497.9   3.1558    0.207544   1860.855    898.46     99.47   2283.15   2901094.6      22.05   589.734   0.00379884   0.00379999   1.3469456    1.46735   28.9200    -61.14119
   0.0710    53528.2   3.1547    0.207573   1860.615    898.84     99.47   2283.14   2897853.7      22.36   589.860   0.00379880   0.00379999   1.3469137    1.46735   28.9200    -60.95157
   0.0720    53558.6   3.1537    0.207602   1860.376    899.23     99.46   2283.12   2894614.7      22.67   589.986   0.00379876   0.00379999   1.3468818    1.46735   28.9200    -60.98935
   0.0730    53589.0   3.1526    0.207631   1860.137    899.61     99.45   2283.11   2891386.2      22.99   590.112   0.00379871   0.00379999   1.3468499    1.46735   28.9200    -60.85555
   0.0740    53619.3   3.1515    0.207660   1859.898    899.99     99.45   2283.09   2888166.2      23.30   590.238   0.00379867   0.00379999   1.3468180    1.46735   28.9200    -60.60109
   0.0750    53649.7   3.1504    0.207689   1859.659    900.38     99.44   2283.08   2884946.9      23.61   590.364   0.00379862   0.00379999   1.3467862    1.46735   28.9200    -60.59038
   0.0760    53680.2   3.1493    0.207719   1859.420    900.76     99.43   2283.07   2881735.0      23.93   590.490   0.00379858   0.00379999   1.3467543    1.46735   28.9200    -60.55733
   0.0770    53710.5   3.1483    0.207748   1859.180    901.14     99.43   2283.05   2878534.5      24.24   590.615   0.00379853   0.00379999   1.3467225    1.46735   28.9200    -60.29382
   0.0780    53740.9   3.1472    0.207777   1858.941    901.53     99.42   2283.04   2875336.0      24.55   590.741   0.00379848   0.00379999   1.3466907    1.46735   28.9200    -60.18351
   0.0790    53771.4   3.1461    0.207806   1858.702    901.91     99.41   2283.02   2872141.0      24.86   590.867   0.00379844   0.00379999   1.3466589    1.46735   28.9200    -60.22548
   0.0800    53801.8   3.1451    0.207835   1858.463    902.29     99.40   2283.01   2868958.3      25.17   590.992   0.00379839   0.00379999   1.3466271    1.46735   28.9200    -60.01644
   0.0810    53832.2   3.1440    0.207865   1858.223    902.68     99.40   2282.99   2865780.9      25.48   591.118   0.00379834   0.00379999   1.3465954    1.46735   28.9200    -59.80038
   0.0820    53862.7   3.1429    0.207895   1857.984    903.06     99.39   2282.98   2862604.1      25.79   591.243   0.00379829   0.00379999   1.3465637    1.46735   28.9200    -59.85155
   0.0830    53893.2   3.1418    0.207924   1857.745    903.44     99.38   2282.96   2859437.7      26.10   591.368   0.00379825   0.00379999   1.3465319    1.46735   28.9200    -59.74425
   0.0840    53923.6   3.1408    0.207953   1857.506    903.82     99.38   2282.95   2856280.7      26.41   591.493   0.00379819   0.00379999   1.3465003    1.46735   28.9200    -59.46293
   0.0850    53954.1   3.1397    0.207983   1857.267    904.21     99.37   2282.93   2853123.6      26.72   591.619   0.00379814   0.00379999   1.3464686    1.46735   28.9200    -59.44725
   0.0860    53984.6   3.1386    0.208012   1857.027    904.59     99.36   2282.92   2849973.0      27.03   591.744   0.00379809   0.00379999   1.3464370    1.46735   28.9200    -59.44958
   0.0870    54015.1   3.1376    0.208042   1856.788    904.97     99.36   2282.90   2846834.7      27.34   591.869   0.00379804   0.00379999   1.3464053    1.46735   28.9200    -59.17321
   0.0880    54045.5   3.1365    0.208072   1856.549    905.35     99.35   2282.89   2843698.4      27.65   591.994   0.00379798   0.00379999   1.3463737    1.46735   28.9200    -59.04150
   0.0890    54076.1   3.1354    0.208101   1856.310    905.73     99.34   2282.88   2840564.3      27.96   592.119   0.00379794   0.00379999   1.3463422    1.46735   28.9200    -59.11224
   0.0900    54106.6   3.1344    0.208131   1856.070    906.12     99.34   2282.86   2837442.8      28.27   592.243   0.00379788   0.00379999   1.3463106    1.46735   28.9200    -58.91308
   0.0910    54137.1   3.1333    0.208161   1855.831    906.50     99.33   2282.84   2834327.4      28.58   592.368   0.00379782   0.00379999   1.3462790    1.46735   28.9200    -58.66718
   0.0920    54167.6   3.1322    0.208191   1855.592    906.88     99.32   2282.83   2831211.3      28.88   592.493   0.00379777   0.00379999   1.3462475    1.46735   28.9200    -58.72935
   0.0930    54198.2   3.1312    0.208220   1855.353    907.26     99.32   2282.81   2828105.2      29.19   592.617   0.00379772   0.00379999   1.3462160    1.46735   28.9200    -58.65184
   0.0940    54228.7   3.1301    0.208250   1855.113    907.64     99.31   2282.80   2825009.6      29.50   592.742   0.00379766   0.00379999   1.3461845    1.46735   28.9200    -58.34513
   0.0950    54259.2   3.1291    0.208280   1854.874    908.02     99.30   2282.78   2821913.2      29.80   592.866   0.00379760   0.00379999   1.3461531    1.46735   28.9200    -58.31926
   0.0960    54289.9   3.1280    0.208310   1854.635    908.40     99.30   2282.77   2818822.2      30.11   592.991   0.00379755   0.00379999   1.3461216    1.46735   28.9200    -58.35836
